dateday,season,year,month,holiday,weekday,workingday,weather_condition,temperature,atemp,humidity,casual,registered,count,day_type,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment,temp_category,hum_category,rental_volume_category
2011-02-23,spring,0,february,0,wednesday,1,clear,0.221739,0.245717,0.423043,139,1778,1917,weekday,677,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-24,spring,0,february,0,thursday,1,mist,0.295652,0.289191,0.697391,100,1707,1807,weekday,676,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-02-25,spring,0,february,0,friday,1,mist,0.364348,0.350461,0.712174,120,1341,1461,weekday,675,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-02-26,spring,0,february,0,saturday,0,clear,0.2825,0.282192,0.537917,424,1545,1969,weekend,674,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-02-27,spring,0,february,0,sunday,0,clear,0.343478,0.351109,0.68,694,1708,2402,weekend,673,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-02-28,spring,0,february,0,monday,1,mist,0.407273,0.400118,0.876364,81,1365,1446,weekday,672,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-03-01,spring,0,march,0,tuesday,1,clear,0.266667,0.263879,0.535,137,1714,1851,weekday,671,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-02,spring,0,march,0,wednesday,1,clear,0.335,0.320071,0.449583,231,1903,2134,weekday,670,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-03,spring,0,march,0,thursday,1,clear,0.198333,0.200133,0.318333,123,1562,1685,weekday,669,1,1,1,111,Lost Days,Cold,Low Humidity,Low Rentals
2011-03-04,spring,0,march,0,friday,1,mist,0.261667,0.255679,0.610417,214,1730,1944,weekday,668,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-05,spring,0,march,0,saturday,0,mist,0.384167,0.378779,0.789167,640,1437,2077,weekend,667,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-03-06,spring,0,march,0,sunday,0,mist,0.376522,0.366252,0.948261,114,491,605,weekend,666,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-03-07,spring,0,march,0,monday,1,clear,0.261739,0.238461,0.551304,244,1628,1872,weekday,665,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-08,spring,0,march,0,tuesday,1,clear,0.2925,0.3024,0.420833,316,1817,2133,weekday,664,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-09,spring,0,march,0,wednesday,1,mist,0.295833,0.286608,0.775417,191,1700,1891,weekday,663,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-03-10,spring,0,march,0,thursday,1,light rain,0.389091,0.385668,0.0,46,577,623,weekday,662,1,1,1,111,Lost Days,Mild,Low Humidity,Low Rentals
2011-03-11,spring,0,march,0,friday,1,mist,0.316522,0.305,0.649565,247,1730,1977,weekday,661,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-12,spring,0,march,0,saturday,0,clear,0.329167,0.32575,0.594583,724,1408,2132,weekend,660,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-13,spring,0,march,0,sunday,0,clear,0.384348,0.380091,0.527391,982,1435,2417,weekend,659,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-14,spring,0,march,0,monday,1,clear,0.325217,0.332,0.496957,359,1687,2046,weekday,658,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-15,spring,0,march,0,tuesday,1,mist,0.317391,0.318178,0.655652,289,1767,2056,weekday,657,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-16,spring,0,march,0,wednesday,1,mist,0.365217,0.36693,0.776522,321,1871,2192,weekday,656,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-03-17,spring,0,march,0,thursday,1,clear,0.415,0.410333,0.602917,424,2320,2744,weekday,655,1,2,2,122,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-18,spring,0,march,0,friday,1,clear,0.54,0.527009,0.525217,884,2355,3239,weekday,654,1,2,2,122,Lost Days,Warm,Medium Humidity,Medium Rentals
2011-03-19,spring,0,march,0,saturday,0,clear,0.4725,0.466525,0.379167,1424,1693,3117,weekend,653,1,2,2,122,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-20,spring,0,march,0,sunday,0,clear,0.3325,0.32575,0.47375,1047,1424,2471,weekend,652,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-21,summer,0,march,0,monday,1,mist,0.430435,0.409735,0.737391,401,1676,2077,weekday,651,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-03-22,summer,0,march,0,tuesday,1,clear,0.441667,0.440642,0.624583,460,2243,2703,weekday,650,1,2,2,122,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-23,summer,0,march,0,wednesday,1,mist,0.346957,0.337939,0.839565,203,1918,2121,weekday,649,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-03-24,summer,0,march,0,thursday,1,mist,0.285,0.270833,0.805833,166,1699,1865,weekday,648,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-03-25,summer,0,march,0,friday,1,clear,0.264167,0.256312,0.495,300,1910,2210,weekday,647,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-26,summer,0,march,0,saturday,0,clear,0.265833,0.257571,0.394167,981,1515,2496,weekend,646,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-27,summer,0,march,0,sunday,0,mist,0.253043,0.250339,0.493913,472,1221,1693,weekend,645,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-28,summer,0,march,0,monday,1,clear,0.264348,0.257574,0.302174,222,1806,2028,weekday,644,1,1,1,111,Lost Days,Mild,Low Humidity,Low Rentals
2011-03-29,summer,0,march,0,tuesday,1,clear,0.3025,0.292908,0.314167,317,2108,2425,weekday,643,1,1,1,111,Lost Days,Mild,Low Humidity,Low Rentals
2011-03-30,summer,0,march,0,wednesday,1,mist,0.3,0.29735,0.646667,168,1368,1536,weekday,642,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-03-31,summer,0,march,0,thursday,1,light rain,0.268333,0.257575,0.918333,179,1506,1685,weekday,641,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-04-01,summer,0,april,0,friday,1,mist,0.3,0.283454,0.68625,307,1920,2227,weekday,640,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-04-02,summer,0,april,0,saturday,0,mist,0.315,0.315637,0.65375,898,1354,2252,weekend,639,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-04-03,summer,0,april,0,sunday,0,clear,0.378333,0.378767,0.48,1651,1598,3249,weekend,638,1,2,2,122,Lost Days,Mild,Medium Humidity,Medium Rentals
2011-04-04,summer,0,april,0,monday,1,clear,0.573333,0.542929,0.42625,734,2381,3115,weekday,637,1,2,2,122,Lost Days,Warm,Medium Humidity,Low Rentals
2011-04-05,summer,0,april,0,tuesday,1,mist,0.414167,0.39835,0.642083,167,1628,1795,weekday,636,1,1,1,111,Lost Days,Mild,Medium Humidity,Low Rentals
2011-04-06,summer,0,april,0,wednesday,1,clear,0.390833,0.387608,0.470833,413,2395,2808,weekday,635,1,2,2,122,Lost Days,Mild,Medium Humidity,Low Rentals
2011-04-07,summer,0,april,0,thursday,1,clear,0.4375,0.433696,0.602917,571,2570,3141,weekday,634,1,2,2,122,Lost Days,Mild,Medium Humidity,Low Rentals
2011-04-08,summer,0,april,0,friday,1,mist,0.335833,0.324479,0.83625,172,1299,1471,weekday,633,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-04-09,summer,0,april,0,saturday,0,mist,0.3425,0.341529,0.8775,879,1576,2455,weekend,632,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-04-10,summer,0,april,0,sunday,0,mist,0.426667,0.426737,0.8575,1188,1707,2895,weekend,631,1,2,2,122,Lost Days,Mild,High Humidity,Low Rentals
2011-04-11,summer,0,april,0,monday,1,mist,0.595652,0.565217,0.716956,855,2493,3348,weekday,630,1,2,2,122,Lost Days,Warm,High Humidity,Medium Rentals
2011-04-12,summer,0,april,0,tuesday,1,mist,0.5025,0.493054,0.739167,257,1777,2034,weekday,629,1,1,1,111,Lost Days,Warm,High Humidity,Low Rentals
2011-04-13,summer,0,april,0,wednesday,1,mist,0.4125,0.417283,0.819167,209,1953,2162,weekday,628,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-04-14,summer,0,april,0,thursday,1,clear,0.4675,0.462742,0.540417,529,2738,3267,weekday,627,1,2,2,122,Lost Days,Mild,Medium Humidity,Medium Rentals
2011-04-15,summer,0,april,1,friday,0,clear,0.446667,0.441913,0.67125,642,2484,3126,weekday,626,1,2,2,122,Lost Days,Mild,High Humidity,Low Rentals
2011-04-16,summer,0,april,0,saturday,0,light rain,0.430833,0.425492,0.888333,121,674,795,weekend,625,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-04-17,summer,0,april,0,sunday,0,clear,0.456667,0.445696,0.479583,1558,2186,3744,weekend,624,1,2,2,122,Lost Days,Mild,Medium Humidity,Medium Rentals
2011-04-18,summer,0,april,0,monday,1,clear,0.5125,0.503146,0.5425,669,2760,3429,weekday,623,1,2,2,122,Lost Days,Warm,Medium Humidity,Medium Rentals
2011-04-19,summer,0,april,0,tuesday,1,mist,0.505833,0.489258,0.665833,409,2795,3204,weekday,622,1,2,2,122,Lost Days,Warm,High Humidity,Medium Rentals
2011-04-20,summer,0,april,0,wednesday,1,clear,0.595,0.564392,0.614167,613,3331,3944,weekday,621,1,2,2,122,Lost Days,Warm,Medium Humidity,Medium Rentals
2011-04-21,summer,0,april,0,thursday,1,clear,0.459167,0.453892,0.407083,745,3444,4189,weekday,620,1,3,3,133,Needs Attention,Mild,Medium Humidity,Medium Rentals
2011-04-22,summer,0,april,0,friday,1,mist,0.336667,0.321954,0.729583,177,1506,1683,weekday,619,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-04-23,summer,0,april,0,saturday,0,mist,0.46,0.450121,0.887917,1462,2574,4036,weekend,618,1,2,2,122,Lost Days,Mild,High Humidity,Medium Rentals
2011-04-24,summer,0,april,0,sunday,0,mist,0.581667,0.551763,0.810833,1710,2481,4191,weekend,617,1,3,3,133,Needs Attention,Warm,High Humidity,Medium Rentals
2011-04-25,summer,0,april,0,monday,1,clear,0.606667,0.5745,0.776667,773,3300,4073,weekday,616,1,2,2,122,Lost Days,Warm,High Humidity,Medium Rentals
2011-04-26,summer,0,april,0,tuesday,1,clear,0.631667,0.594083,0.729167,678,3722,4400,weekday,615,1,3,3,133,Needs Attention,Warm,High Humidity,Medium Rentals
2011-04-27,summer,0,april,0,wednesday,1,mist,0.62,0.575142,0.835417,547,3325,3872,weekday,614,1,2,2,122,Lost Days,Warm,High Humidity,Medium Rentals
2011-04-28,summer,0,april,0,thursday,1,mist,0.6175,0.578929,0.700833,569,3489,4058,weekday,613,1,2,2,122,Lost Days,Warm,High Humidity,Medium Rentals
2011-04-29,summer,0,april,0,friday,1,clear,0.51,0.497463,0.457083,878,3717,4595,weekday,612,1,3,3,133,Needs Attention,Warm,Medium Humidity,High Rentals
2011-04-30,summer,0,april,0,saturday,0,clear,0.4725,0.464021,0.503333,1965,3347,5312,weekend,611,1,4,4,144,Needs Attention,Mild,Medium Humidity,High Rentals
2011-05-01,summer,0,may,0,sunday,0,mist,0.451667,0.448204,0.762083,1138,2213,3351,weekend,610,1,2,2,122,Lost Days,Mild,High Humidity,Medium Rentals
2011-05-02,summer,0,may,0,monday,1,mist,0.549167,0.532833,0.73,847,3554,4401,weekday,609,1,3,3,133,Needs Attention,Warm,High Humidity,Medium Rentals
2011-05-03,summer,0,may,0,tuesday,1,mist,0.616667,0.582079,0.697083,603,3848,4451,weekday,608,1,3,3,133,Needs Attention,Warm,High Humidity,Medium Rentals
2011-05-04,summer,0,may,0,wednesday,1,mist,0.414167,0.40465,0.737083,255,2378,2633,weekday,607,1,1,1,111,Lost Days,Mild,High Humidity,Low Rentals
2011-05-05,summer,0,may,0,thursday,1,clear,0.459167,0.441917,0.444167,614,3819,4433,weekday,606,1,3,3,133,Needs Attention,Mild,Medium Humidity,Medium Rentals
2011-05-06,summer,0,may,0,friday,1,clear,0.479167,0.474117,0.59,894,3714,4608,weekday,605,1,3,3,133,Needs Attention,Mild,Medium Humidity,High Rentals
2011-05-07,summer,0,may,0,saturday,0,clear,0.52,0.512621,0.54125,1612,3102,4714,weekend,604,1,3,3,133,Needs Attention,Warm,Medium Humidity,High Rentals
2011-05-08,summer,0,may,0,sunday,0,clear,0.528333,0.518933,0.631667,1401,2932,4333,weekend,603,1,3,3,133,Needs Attention,Warm,Medium Humidity,Medium Rentals
2011-05-09,summer,0,may,0,monday,1,clear,0.5325,0.525246,0.58875,664,3698,4362,weekday,602,1,3,3,133,Needs Attention,Warm,Medium Humidity,Medium Rentals
2011-05-10,summer,0,may,0,tuesday,1,clear,0.5325,0.522721,0.489167,694,4109,4803,weekday,601,1,3,3,133,Needs Attention,Warm,Medium Humidity,High Rentals
2011-05-11,summer,0,may,0,wednesday,1,clear,0.5425,0.5284,0.632917,550,3632,4182,weekday,600,1,3,3,133,Needs Attention,Warm,Medium Humidity,Medium Rentals
2011-05-12,summer,0,may,0,thursday,1,clear,0.535,0.523363,0.7475,695,4169,4864,weekday,599,1,3,3,133,Needs Attention,Warm,High Humidity,High Rentals
2011-05-13,summer,0,may,0,friday,1,mist,0.5125,0.4943,0.863333,692,3413,4105,weekday,598,1,3,3,133,Needs Attention,Warm,High Humidity,Medium Rentals
2011-05-14,summer,0,may,0,saturday,0,mist,0.520833,0.500629,0.9225,902,2507,3409,weekend,597,1,2,2,122,Lost Days,Warm,High Humidity,Medium Rentals
2011-05-15,summer,0,may,0,sunday,0,mist,0.5625,0.536,0.867083,1582,2971,4553,weekend,596,1,3,3,133,Needs Attention,Warm,High Humidity,High Rentals
2011-05-16,summer,0,may,0,monday,1,clear,0.5775,0.550512,0.787917,773,3185,3958,weekday,595,1,2,2,122,Lost Days,Warm,High Humidity,Medium Rentals
2011-05-17,summer,0,may,0,tuesday,1,mist,0.561667,0.538529,0.837917,678,3445,4123,weekday,594,1,3,3,133,Needs Attention,Warm,High Humidity,Medium Rentals
2011-05-18,summer,0,may,0,wednesday,1,mist,0.55,0.527158,0.87,536,3319,3855,weekday,593,1,2,2,122,Lost Days,Warm,High Humidity,Medium Rentals
2011-05-19,summer,0,may,0,thursday,1,mist,0.530833,0.510742,0.829583,735,3840,4575,weekday,592,1,3,3,133,Needs Attention,Warm,High Humidity,High Rentals
2011-05-20,summer,0,may,0,friday,1,clear,0.536667,0.529042,0.719583,909,4008,4917,weekday,591,1,3,3,133,Needs Attention,Warm,High Humidity,High Rentals
2011-05-21,summer,0,may,0,saturday,0,clear,0.6025,0.571975,0.626667,2258,3547,5805,weekend,590,1,4,4,144,Needs Attention,Warm,Medium Humidity,High Rentals
2011-05-22,summer,0,may,0,sunday,0,clear,0.604167,0.5745,0.749583,1576,3084,4660,weekend,589,1,3,3,133,Needs Attention,Warm,High Humidity,High Rentals
2011-05-23,summer,0,may,0,monday,1,mist,0.631667,0.590296,0.81,836,3438,4274,weekday,588,1,3,3,133,Needs Attention,Warm,High Humidity,Medium Rentals
2011-05-24,summer,0,may,0,tuesday,1,mist,0.66,0.604813,0.740833,659,3833,4492,weekday,587,1,3,3,133,Needs Attention,Warm,High Humidity,Medium Rentals
2011-05-25,summer,0,may,0,wednesday,1,clear,0.660833,0.615542,0.69625,740,4238,4978,weekday,586,1,4,4,144,Needs Attention,Warm,High Humidity,High Rentals
2011-05-26,summer,0,may,0,thursday,1,clear,0.708333,0.654688,0.6775,758,3919,4677,weekday,585,1,3,3,133,Needs Attention,Hot,High Humidity,High Rentals
2011-05-27,summer,0,may,0,friday,1,clear,0.681667,0.637008,0.65375,871,3808,4679,weekday,584,2,3,3,233,Regular Days,Warm,Medium Humidity,High Rentals
2011-05-28,summer,0,may,0,saturday,0,clear,0.655833,0.612379,0.729583,2001,2757,4758,weekend,583,2,3,3,233,Regular Days,Warm,High Humidity,High Rentals
2011-05-29,summer,0,may,0,sunday,0,clear,0.6675,0.61555,0.81875,2355,2433,4788,weekend,582,2,3,3,233,Regular Days,Warm,High Humidity,High Rentals
2011-05-30,summer,0,may,1,monday,0,clear,0.733333,0.671092,0.685,1549,2549,4098,weekday,581,2,3,3,233,Regular Days,Hot,High Humidity,Medium Rentals
2011-05-31,summer,0,may,0,tuesday,1,clear,0.775,0.725383,0.636667,673,3309,3982,weekday,580,2,2,2,222,Regular Days,Hot,Medium Humidity,Medium Rentals
2011-06-01,summer,0,june,0,wednesday,1,mist,0.764167,0.720967,0.677083,513,3461,3974,weekday,579,2,2,2,222,Regular Days,Hot,High Humidity,Medium Rentals
2011-06-02,summer,0,june,0,thursday,1,clear,0.715,0.643942,0.305,736,4232,4968,weekday,578,2,3,3,233,Regular Days,Hot,Low Humidity,High Rentals
2011-06-03,summer,0,june,0,friday,1,clear,0.62,0.587133,0.354167,898,4414,5312,weekday,577,2,4,4,244,Regular Days,Warm,Medium Humidity,High Rentals
2011-06-04,summer,0,june,0,saturday,0,clear,0.635,0.594696,0.45625,1869,3473,5342,weekend,576,2,4,4,244,Regular Days,Warm,Medium Humidity,High Rentals
2011-06-05,summer,0,june,0,sunday,0,mist,0.648333,0.616804,0.6525,1685,3221,4906,weekend,575,2,3,3,233,Regular Days,Warm,Medium Humidity,High Rentals
2011-06-06,summer,0,june,0,monday,1,clear,0.678333,0.621858,0.6,673,3875,4548,weekday,574,2,3,3,233,Regular Days,Warm,Medium Humidity,Medium Rentals
2011-06-07,summer,0,june,0,tuesday,1,clear,0.7075,0.65595,0.597917,763,4070,4833,weekday,573,2,3,3,233,Regular Days,Hot,Medium Humidity,High Rentals
2011-06-08,summer,0,june,0,wednesday,1,clear,0.775833,0.727279,0.622083,676,3725,4401,weekday,572,2,3,3,233,Regular Days,Hot,Medium Humidity,Medium Rentals
2011-06-09,summer,0,june,0,thursday,1,mist,0.808333,0.757579,0.568333,563,3352,3915,weekday,571,2,2,2,222,Regular Days,Hot,Medium Humidity,Medium Rentals
